Nr;Name;Typ;Evaluation;WP;KP;Angriff;Verteidigung;Distanz;Ei
95;Onix;Gestein,Boden;Stahlos,50,Onix,1,Metallmantel;857;70;90;187;5;5
96;Traumato;Psycho;Hypno,50,Traumato,,;1075;120;104;140;3;5
97;Hypno;Psycho;;2184;170;162;196;3;
98;Krabby;Wasser;Kingler,50,Krabby,,;792;60;116;110;3;2
99;Kingler;Wasser;;1823;110;178;168;3;
100;Voltobal;Elektro;Lektrobal,50,Voltobal,,;839;80;102;124;3;5
101;Lektrobal;Elektro;;1646;120;150;174;3;
102;Owei;Pflanze,Psycho;Kokowei,50,Owei,,;1099;120;110;132;3;2
103;Kokowei;Pflanze,Psycho;;2955;190;232;164;3;
104;Tragosso;Boden;Knogga,50,Tragosso,,;1006;100;102;150;3;5
105;Knogga;Boden;;1656;120;140;202;3;
106;Kicklee;Kampf;;1492;100;148;172;5;
107;Nockchan;Kampf;;1516;100;138;204;5;
108;Schlurp;Normal;;1626;180;126;160;3;5
109;Smogon;Gift;Smogmog,50,Smogon,,;1151;80;136;142;3;5
110;Smogmog;Gift;;2250;130;190;198;3;
111;Rihorn;Boden,Gestein;Rizeros,50,Rihorn,,;1182;160;110;116;3;5
112;Rizeros;Boden,Gestein;;2243;210;166;160;3;
113;Chaneira;Normal;Heiteira,50,Chaneira,,;675;500;40;60;5;10
114;Tangela;Pflanze;;1739;130;164;152;3;5
115;Kangama;Normal;;2043;210;142;178;3;
116;Seeper;Wasser;Seemon,25,Seeper,,;794;60;122;100;3;
117;Seemon;Wasser;Seedraking,100,Seeper,1,Drachenhaut;1713;110;176;150;3;
118;Goldini;Wasser;Golking,50,Goldini,,;965;90;112;126;3;2
119;Golking;Wasser;;2043;160;172;160;3;
120;Sterndu;Wasser;Starmie,50,Sterndu,,;937;60;130;128;3;5
121;Starmie;Wasser,Psycho;;2182;120;194;192;3;
122;Pantimos;Psycho,Fee;;1494;80;154;196;5;
123;Sichlor;Käfer,Flug;Scherox,50,Sichlor,1,Metallmantel;2073;140;176;180;5;5
124;Rossana;Eis,Psycho;;1716;130;172;134;5;
125;Elektek;Elektro;;2119;130;198;160;5;
126;Magmar;Feuer;;2265;130;214;158;5;
127;Pinsir;Käfer;;2121;130;184;186;5;5
128;Tauros;Normal;;1844;150;148;184;3;
129;Karpador;Wasser;Garados,400,Karpador,,;262;40;42;84;1;2
130;Garados;Wasser,Flug;;2688;190;192;196;1;
131;Lapras;Wasser,Eis;;2980;260;186;190;5;10
132;Ditto;Normal;;919;96;110;110;3;
133;Evoli;Normal;Aquana,25,Evoli,,/Flamara,25,Evoli,,/Blitza,25,Evoli,,/Psiana,25,Evoli,,/Nachtara,25,Evoli,,;1077;110;114;128;5;5
134;Aquana;Wasser;;2816;260;186;168;5;
135;Blitza;Elektro;;2140;130;192;174;5;
136;Flamara;Feuer;;2643;130;238;178;5;
137;Porygon;Normal;Porygon2,50,Porygon,1,Up-Grade;1691;130;156;158;3;5
138;Amonitas;Gestein,Wasser;Amoroso,50,Amonitas,,;1119;70;132;160;5;5
139;Amoroso;Gestein,Wasser;;2233;140;180;202;5;
140;Kabuto;Gestein,Wasser;Kabutops,50,Kabuto,,;1104;60;148;142;5;5
141;Kabutops;Gestein,Wasser;;2130;120;190;190;5;
142;Aerodactyl;Gestein,Flug;;2165;160;182;162;5;10
143;Relaxo;Normal;;3112;320;180;180;5;10
144;Arktos;Eis,Flug;;2978;180;198;242;5;
145;Zapdos;Elektro,Flug;;3114;180;232;194;5;
146;Lavados;Feuer,Flug;;3240;180;242;194;5;
147;Dratini;Drache;Dragonir,25,Dratini,,;983;82;128;110;5;10
148;Dragonir;Drache;Dragoran,100,Dratini,,;1485;122;170;152;5;
149;Dragoran;Drache,Flug;;3500;182;250;212;5;
150;Mewtu;Psycho;;4144;212;284;202;5;
151;Mew;Psycho;;3299;200;220;220;5;
152;Endivie;Pflanze;Lorblatt,25,Endivie,,;771;143;90;111;3;
153;Lorblatt;Pflanze;Meganie,100,Endivie,,;1296;175;120;140;3;
154;Meganie;Pflanze;;2227;217;160;182;3;
155;Feurigel;Feuer;Igelavar,25,Feurigel,,;831;108;78;127;3;
156;Igelavar;Feuer;Tornupto,100,Feurigel,,;1484;140;116;160;3;
157;Tornupto;Feuer;;2686;182;156;211;3;
158;Karnimani;Wasser;Tyracroc,25,Karnimani,,;1011;123;100;120;3;
159;Tyracroc;Wasser;Impergator,100,Karnimani,,;1598;157;130;152;3;
160;Impergator;Wasser;;2721;199;170;199;3;
161;Wiesor;Normal;Wiesenior,25,Wiesor,,;519;87;70;89;1;
162;Wiesenior;Normal;;1667;137;170;135;1;
163;Hoothoot;Normal,Flug;Noctuh,50,Hoothoot,,;640;96;120;79;1;
164;Noctuh;Normal,Flug;;2040;155;200;140;1;
165;Ledyba;Käfer,Flug;Ledian,25,Ledyba,,;663;112;80;71;1;
166;Ledian;Käfer,Flug;;1275;166;110;106;1;
167;Webarak;Käfer,Gift;Ariados,50,Webarak,,;685;90;80;108;1;
168;Ariados;Käfer,Gift;;1636;142;140;159;1;
169;Iksbat;Gift,Flug;;2466;182;170;181;1;
170;Lampi;Wasser,Elektro;Lanturn,50,Lampi,,;1067;108;150;108;3;
171;Lanturn;Wasser,Elektro;;2077;149;250;149;3;
172;Pichu;Elektro;Pikachu,25,Pikachu,,;376;61;40;90;1;2
173;Pii;Fee;Piepi,25,Piepi,,;620;86;100;74;1;2
174;Fluffeluff;Normal,Fee;Pummeluff,25,Pummeluff,,;512;42;180;77;1;2
175;Togepi;Fee;Togetic,50,Togepi,,;540;138;70;65;3;2
176;Togetic;Fee,Flug;;1553;201;110;125;3;
177;Natu;Psycho,Flug;Xatu,50,Natu,,;925;106;80;135;3;5
178;Xatu;Psycho,Flug;;1975;159;130;188;3;
179;Voltilamm;Elektro;Waaty,25,Voltilamm,,;887;96;110;113;5;10
180;Waaty;Elektro;Ampharos,100,Voltilamm,,;1402;128;140;146;5;
181;Ampharos;Elektro;;2695;228;180;263;5;
182;Blubella;Pflanze;;2108;209;150;183;1;
183;Marill;Wasser,Fee;Azumarill,50,Marill,,;420;112;140;52;3;
184;Azumarill;Wasser,Fee;;1503;174;200;123;3;
185;Mogelbaum;Gestein;;2065;183;140;120;5;10
186;Quaxo;Wasser;;2371;189;180;181;3;
187;Hoppspross;Pflanze,Flug;Hubelupf,25,Hoppspross,,;508;107;70;84;3;
188;Hubelupf;Pflanze,Flug;Papungha,100,Hoppspross,,;882;131;110;107;3;
189;Papungha;Pflanze,Flug;;1553;184;150;130;3;
190;Griffel;Normal;;1188;128;110;124;3;2
191;Sonnkern;Pflanze;Sonnflora,50,Sonnkern,1,Sonnenstein;316;70;60;70;3;
192;Sonnflora;Pflanze;;2048;147;150;188;3;
193;Yanma;Käfer,Flug;;1326;109;130;159;3;5
194;Felino;Wasser,Boden;Morlord,50,Felino,,;596;74;110;74;3;5
195;Morlord;Wasser,Boden;;1929;160;190;160;3;
196;Psiana;Psycho;;3000;171;130;204;5;
197;Nachtara;Unlicht;;2052;255;190;141;5;
198;Kramurx;Unlicht,Flug;;1392;103;120;189;3;
199;Laschoking;Wasser,Psycho;;2482;198;190;184;3;
200;Traunfugil;Geist;;1781;161;120;161;3;2
201;Icognito;Psycho;;1022;109;96;157;5;
202;Woingenau;Psycho;;1024;127;380;77;3;5
203;Girafarig;Normal,Psycho;;1863;148;140;188;3;5
204;Tannza;Käfer;Forstellka,50,Tannza,,;1045;119;100;103;5;10
205;Forstellka;Käfer,Stahl;;2263;195;150;159;5;
206;Dummisel;Normal;;1615;148;200;148;3;5
207;Skorgla;Boden,Flug;;1758;183;130;120;5;10
208;Stahlos;Stahl,Boden;;2439;306;150;176;5;
209;Snubbull;Fee;Granbull,50,Snubbull,,;1124;100;120;124;3;
210;Granbull;Fee;;2440;147;180;183;3;
211;Baldorfish;Wasser,Gift;;1910;146;130;163;3;5
212;Scherox;Käfer,Stahl;;2801;253;140;214;5;
213;Pottrott;Käfer,Gestein;;300;464;40;24;3;5
214;Skaraborn;Käfer,Kampf;;2938;237;160;189;3;
215;Sniebel;Unlicht,Eis;;1868;149;110;136;3;5
216;Teddiursa;Normal;Ursaring,50,Teddiursa,,;1184;112;120;139;3;
217;Ursaring;Normal;;2769;164;180;212;3;
218;Schneckmag;Feuer;Magcargo,50,Schneckmag,,;750;88;80;114;1;2
219;Magcargo;Feuer,Gestein;;1543;206;100;137;1;
220;Quiekel;Eis,Boden;Keifel,50,Quiekel,,;663;83;100;91;3;
221;Keifel;Eis,Boden;;2284;152;200;169;3;
222;Corasonn;Wasser,Gestein;;1214;181;110;131;3;
223;Remoraid;Wasser;Octillery,50,Remoraid,,;749;86;70;146;1;2
224;Octillery;Wasser;;2124;163;150;223;1;
225;Botogel;Eis,Flug;;937;107;90;136;5;
226;Mantax;Wasser,Flug;;2045;214;130;129;5;10
227;Panzaeron;Stahl,Flug;;2045;214;130;129;5;10
228;Hunduster;Unlicht,Feuer;Hundemon,50,Hunduster,,;1110;93;90;154;3;
229;Hundemon;Unlicht,Feuer;;2529;201;150;245;3;
230;Seedraking;Wasser,Drache;;2424;208;150;208;3;
231;Phanpy;Boden;Donphan,50,Phanpy,,;1175;110;180;110;3;5
232;Donphan;Boden;;3022;183;180;183;3;
233;Porygon2;Normal;;2546;200;170;198;3;
234;Damhirplex;Normal;;1988;145;146;198;3;5
235;Farbeagle;Normal;;389;96;110;57;3;
236;Rabauz;Kampf;Kicklee,25,Rabauz,,/Nockchan,25,Rabauz,,/Kapoera,25,Rabauz,,;404;81;70;81;5;5
237;Kapoera;Kampf;;1905;221;100;132;5;
238;Kussilla;Eis,Psycho;Rossana,25,Rossana,,;1230;78;90;117;5;5
239;Elekid;Elektro;Elektek,25,Elektek,,;1073;109;90;147;5;5
240;Magby;Feuer;Magmar,25,Magby,,;1178;108;90;163;5;5
241;Miltank;Normal;;2325;191;190;133;5;10
242;Heiteira;Normal;;3219;88;510;69;5;
243;Raikou;Elektro;;3349;194;180;219;5;
244;Entei;Feuer;;3412;179;230;223;5;
245;Suicune;Wasser;;2823;248;200;182;5;
246;Larvitar;Gestein,Boden;Pupitar,25,Larvitar,,;904;112;100;120;5;10
247;Pupitar;Gestein,Boden;Despotar,100,Larvitar,,;1608;154;140;162;5;
248;Despotar;Gestein,Unlicht;;3670;285;200;266;5;
249;Lugia;Psycho,Flug;;3598;303;212;200;5;
250;Ho-Oh;Feuer,Flug;;4650;254;212;258;5;
251;Celebi;Psycho,Pflanze;;3090;220;200;220;5;
